Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-10-22 10:38:19+00:00),Img Match,H.Text
Max Current Unbalance,,,,,,
NEMA,empty = empty (PASS by text),[] (PASS),[] (PASS),2024-10-22 10:38:22 (PASS),,
Negative- Sequence,U2 = U2 (PASS by text),,,2024-10-22 10:38:22 (PASS),,
Zero- Sequence,U0 = U0 (PASS by text),,,2024-10-22 10:38:22 (PASS),,
,0.0% (PASS),,,,,
,0.0% (PASS),,,,,
,0.0% (PASS),,,,,
