Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (1970-08-31 15:32:55+00:00),Img Match,H.Text
L-L L-N Max Volt. Symm. Component,,,,,,
Positive- Sequence,,[] (PASS),[] (PASS),2024-10-22 10:35:01 / 1708628526.0 seconds (FAIL),,
Negative- Sequence,,,,2024-10-22 10:35:01 / 1708628526.0 seconds (FAIL),,
Zero- Sequence,,,,,,
,,,,,,
,,,,,,
,,,,,,
