Main View,OCR-Right,Right-OCR,Time Stemp (2024-10-22 09:56:01+00:00),Img Match,H.Text
Phasor Voltage Current,,,,,
VLL VLN,[] (PASS),[] (PASS),,"[1.0, 1.0, 1.0]",
Voltage,,,,,
AB BC CA,,,,,
Current,,,,,
A B c,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
