Main View,OCR-Right,Right-OCR,Time Stemp (None),Img Match,H.Text
Voltage Harmonics Current,,,,,
[A] Graph THD Fund.,['C'] (FAIL),['c'] (FAIL),,0.4962470531463623,
Fund. A B C,,,,,
A,,,,,
B,,,,,
C,,,,,
