Main View,OCR-Right,Right-OCR,Time Stemp (2024-10-22 09:56:01+00:00),Img Match,H.Text
Phasor  Voltage Current,,,,,
VLL VLN,['C'] (FAIL),[] (PASS),,"[0.9675249457359314, 1.0, 1.0]",
Voltage,,,,,
A B C,,,,,
Current,,,,,
A B c,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
