Main View,OCR-Right,Right-OCR,Time Stemp (None),Img Match,H.Text
Voltage Harmonics Current,,,,,
[v] Graph THD Fund.,['C'] (FAIL),['c'] (FAIL),,0.30102911591529846,
Fund. A B,,,,,
A,,,,,
B,,,,,
C,,,,,
