Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-10-22 09:52:31+00:00),Img Match,H.Text
Active Power Min Max,,,,,,
A,0.0% (PASS),[] (PASS),[] (PASS),2024-10-22 09:52:34 (PASS),,
B,0.0% (PASS),,,2024-10-22 09:52:34 (PASS),,
C,0.0% (PASS),,,2024-10-22 09:52:34 (PASS),,
Total,0.0% (PASS),,,2024-10-22 09:52:34 (PASS),,
,0.0kW (PASS),,,,,
,0.0kW (PASS),,,,,
,0.0kW (PASS),,,,,
,0.0kW (PASS),,,,,
