Main View,Measurement,OCR-Right,Right-OCR,Time Stamp (None),Img Match,H.Text
Min Active Power Max,,,,,,
A,% 43.0 (FAIL),[] (PASS),[] (PASS),,,
B,43.0 % (FAIL),,,,,
C,43.2 % (FAIL),,,,,
Total,43.0 % (FAIL),,,,,
,235.7 W (FAIL),,,,,
,235.6 W (FAIL),,,,,
,236.8 W (FAIL),,,,,
,708.1 W (FAIL),,,,,
