Main View,OCR-Right,Right-OCR,Time Stemp (None),Img Match,H.Text
Voltage Current Harmonics,,,,,
[A] Graph THD Fund.,[] (PASS),[] (PASS),,0.9796460270881653,
Fund. A B C,,,,,
A,,,,,
B,,,,,
C,,,,,
