Main View,OCR-Right,Right-OCR,Time Stemp (None),Img Match,H.Text
Voltage Current Harmonics,,,,,
[v] Graph THD Fund.,['c'] (FAIL),['C'] (FAIL),,0.9106030464172363,
Fund. A B,,,,,
A,,,,,
B,,,,,
c,,,,,
