Main View,OCR-Right,Right-OCR,Time Stemp (None),Img Match,H.Text
 Voltage Phasor Current,,,,,
VLL VLN,[] (PASS),[] (PASS),,"[0.9937012195587158, 1.0, 1.0]",
Voltage,,,,,
AB BC CA,,,,,
Current,,,,,
A B C,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
