Main View,OCR-Right,Right-OCR,Time Stemp (None),Img Match,H.Text
 Voltage Phasor Current,,,,,
VLL VLN,[] (PASS),[] (PASS),,"[0.9930470585823059, 1.0, 1.0]",
Voltage,,,,,
A B C,,,,,
Current,,,,,
A B C,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
