Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-10-11 17:24:38.247338),Img Match,H.Text
RMS Voltage L-L L-N Min Max,,,,,,
A,0.0V (PASS),['C'] (FAIL),['c'] (FAIL),2024-10-11 17:28:52 (PASS),,
B,0.0V (PASS),,,2024-10-11 17:28:52 (PASS),,
C,0.0V (PASS),,,2024-10-11 17:28:52 (PASS),,
Average,0.0V (PASS),,,2024-10-11 17:28:52 (PASS),,
