Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-10-11 17:30:29.887515),Img Match,H.Text
L-L L-N Max Total Harmonic Distortion,,,,,,
A,0.0% (PASS),['C'] (FAIL),['c'] (FAIL),,,
B,0.0% (PASS),,,,,
C,0.0% (PASS),,,,,
