Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-09-06 17:15:24.198181),Img Match
L-L L-N Max Volt. Symm. Component,,,,,
Positive- Sequence,V1,[] (PASS),[] (PASS),,
Negative- Sequence,V2,,,,
Zero- Sequence,V0,,,,
,109.4 V,,,,
,0.446 V,,,,
