Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-09-06 17:15:24.198181),Img Match
L-L L-N Max Volt. Symm. Component,,,,,
Positive- Sequence,V1,[] (PASS),[] (PASS),2024-09-06 17:17:54 (PASS),
Negative- Sequence,V2,,,2024-09-06 17:17:17 (PASS),
Zero- Sequence,V0,,,,
,109.8 V,,,,
,1.128 V,,,,
