Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-09-08 22:15:59.161622),Img Match
Max Current Unbalance,,,,,
NEMA,0.3% (PASS),[] (PASS),[] (PASS),2024-08-13 17:28:11 / 2263668.161622 seconds (FAIL),
Negative- Sequence,0.6% (PASS),,,2024-08-13 17:27:27 / 2263712.161622 seconds (FAIL),
Zero- Sequence,0.8 % (FAIL),,,2024-08-13 17:27:25 / 2263714.161622 seconds (FAIL),
,,,,,
,,,,,
,,,,,
