Main View,Measurement,OCR-Right,Right-OCR,Time Stamp (2024-12-02 17:24:07+00:00),Img Match,H.Text
Max Current Unbalance,,,,,,
NEMA,empty = empty (PASS by text),[] (PASS),[] (PASS),2024-12-02 17:24:09 (PASS),,
Negative- Sequence,U2 = U2 (PASS by text),,,2024-12-02 17:24:09 (PASS),,
Zero- Sequence,0.0 % (FAIL),,,2024-12-02 17:24:09 (PASS),,
,0.0% (PASS),,,,,
,0.0% (PASS),,,,,
