Main View,OCR-Right,Right-OCR,Time Stemp (None),Img Match,H.Text
Phasor Current Voltage,,,,,
VLN VLL,[] (PASS),[] (PASS),,"[1.0, 1.0, 1.0]",
Voltage,,,,,
AB BC CA,,,,,
Current,,,,,
A B C,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
