Main View,OCR-Right,Right-OCR,Time Stemp (None),Img Match,H.Text
Voltage Harmonics Current,,,,,
Text [v],[] (PASS),[] (PASS),,,
A B C,,,,,
0 2 3 4 1 5 6 7 8,,,,,
