Main View,OCR-Right,Right-OCR,Time Stemp (None),Img Match,H.Text
Phasor Voltage Current,,,,,
VLL VLN,['c'] (FAIL),['C'] (FAIL),,"[0.9946237206459045, 1.0, 1.0]",
Voltage,,,,,
AB BC CA,,,,,
Current,,,,,
A B c,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
