Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-09-12 20:53:15.146881),Img Match
Max Current Unbalance,,,,,
NEMA,empty = empty (PASS by text),[] (PASS),[] (PASS),2024-08-13 17:28:11 / 2604304.146881 seconds (FAIL),
Negative- Sequence,U2 = U2 (PASS by text),,,2024-08-13 17:27:27 / 2604348.146881 seconds (FAIL),
Zero- Sequence,U0 = U0 (PASS by text),,,2024-08-13 17:27:25 / 2604350.146881 seconds (FAIL),
,0.3% (PASS),,,,
,0.6% (PASS),,,,
,0.8 % (FAIL),,,,
