Main View,OCR-Right,Right-OCR,Time Stemp (None),Img Match,H.Text
Phasor Voltage V Current,,,,,
VLL VLN,['V'] (FAIL),[] (PASS),,"[0.9956361055374146, 1.0, 1.0]",
Voltage,,,,,
AB BC CA,,,,,
Current,,,,,
A B C,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
