Main View,Measurement,OCR-Right,Right-OCR,Time Stamp (None),Img Match,H.Text
RMS Voltage L-L Min Max L-N,,,,,,
AB,189.9V (PASS),[] (PASS),[] (PASS),,,
BC,189.7V (PASS),,,,,
CA,189.6V (PASS),,,,,
Average,189.7V (PASS),,,,,
