Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-10-21 17:02:25+00:00),Img Match,H.Text
Max Total Demand Distortion,,,,,,
A,0.0% (PASS),[] (PASS),[] (PASS),2024-10-21 17:02:28 (PASS),,
B,0.0% (PASS),,,2024-10-21 17:02:28 (PASS),,
C,0.0% (PASS),,,2024-10-21 17:02:28 (PASS),,
