Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None),Img Match,H.Text
RMS Voltage L-L L-N Min Max,,,,,,
AB,189.9V (PASS),[] (PASS),[] (PASS),,,
BC,189.7V (PASS),,,,,
CA,190.0V (PASS),,,,,
Average,189.9V (PASS),,,,,
