Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-09-19 15:44:09.064007),Img Match,H.Text
RMS Voltage L-L L-N Min Max,,,,,,
A,110.1V (PASS),[] (PASS),[] (PASS),2024-09-19 15:46:58 (PASS),,
B,109.8V (PASS),,,2024-09-19 15:47:50 (PASS),,
c,110.0V (PASS),,,2024-09-19 15:46:41 (PASS),,
Average,109.8V (PASS),,,2024-09-19 15:47:53 (PASS),,
