Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-09-19 15:46:37.333826),Img Match,H.Text
Fund. Volt. L-L L-N Min Max,,,,,,
A,110.1V (PASS),[] (PASS),[] (PASS),2024-09-19 15:49:52 (PASS),,
B,109.8V (PASS),,,2024-09-19 15:51:09 (PASS),,
c,110.0V (PASS),,,2024-09-19 15:49:55 (PASS),,
Average,109.7V (PASS),,,2024-09-19 15:49:39 (PASS),,
