Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-09-19 15:46:37.333826),Img Match,H.Text
Fund. Volt. L-L L-N Min Max,,,,,,
A,109.6V (PASS),[] (PASS),[] (PASS),,,
B,109.2V (PASS),,,,,
c,109.8V (PASS),,,,,
Average,109.5V (PASS),,,,,
