Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-09-19 15:44:09.064007),Img Match,H.Text
RMS Voltage L-L L-N Min Max,,,,,,
AB,190.3V (PASS),[] (PASS),[] (PASS),2024-09-19 15:46:59 (PASS),,
BC,190.1V (PASS),,,2024-09-19 15:47:34 (PASS),,
CA,190.3V (PASS),,,2024-09-19 15:47:26 (PASS),,
Average,190.1V (PASS),,,2024-09-19 15:46:55 (PASS),,
