Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-09-19 15:44:09.064007),Img Match,H.Text
L-L L-N Min Max Fund. Volt.,,,,,,
AB,189.7V (PASS),[] (PASS),[] (PASS),,,
BC,189.8V (PASS),,,,,
CA,189.8V (PASS),,,,,
Average,189.8V (PASS),,,,,
