Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-09-12 09:36:18.794989),Img Match
RMS Voltage L-L L-N Min Max,,,,,
A,109.1 V,[] (PASS),[] (PASS),2024-09-12 09:39:30 (PASS),
B,109.2 V,,,2024-09-12 09:39:51 (PASS),
c,109.3 V,,,2024-09-12 09:38:26 (PASS),
Average,109.4 V,,,2024-09-12 09:39:53 (PASS),
