Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None),Img Match
RMS Voltage L-L  L-N Min Max,,,,,
AB,189.9 V,[] (PASS),[] (PASS),,
BC,189.8 V,,,,
CA,189.9 V,,,,
Average,189.8 V,,,,
