Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-09-12 09:36:18.794989),Img Match
RMS Voltage L-L  L-N Min Max,,,,,
AB,189.5 V,[] (PASS),[] (PASS),2024-09-12 09:38:36 (PASS),
BC,189.2 V,,,2024-09-12 09:38:54 (PASS),
CA,189.4 V,,,2024-09-12 09:38:26 (PASS),
Average,189.5 V,,,2024-09-12 09:38:26 (PASS),
