Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-09-12 09:36:18.794989),Img Match
RMS Voltage L-L  L-N Min Max,,,,,
AB,190.4 V,[] (PASS),[] (PASS),2024-09-12 09:38:49 (PASS),
BC,190.2 V,,,2024-09-12 09:39:06 (PASS),
CA,190.3 V,,,2024-09-12 09:38:59 (PASS),
Average,190.1 V,,,2024-09-12 09:38:44 (PASS),
