Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-11-21 10:56:20+00:00),Img Match,H.Text
Min Max Active Power,,,,,,
A,0.0% (PASS),[] (PASS),[] (PASS),,,
B,0.0% (PASS),,,,,
C,0.0% (PASS),,,,,
Total,0.0% (PASS),,,,,
,0.0kW (PASS),,,,,
,0.0kW (PASS),,,,,
,0.0kW (PASS),,,,,
,0.0kW (PASS),,,,,
