Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-11-21 10:50:51+00:00),Img Match,H.Text
Max Total Demand Distortion,,,,,,
A,0.0% (PASS),[] (PASS),[] (PASS),,,
B,0.0% (PASS),,,,,
C,0.0% (PASS),,,,,
