Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-11-21 11:01:48+00:00),Img Match,H.Text
Min Max Apparent Power,,,,,,
A,0.0% (PASS),[] (PASS),[] (PASS),,,
B,0.0% (PASS),,,,,
C,0.0% (PASS),,,,,
Total,0.0% (PASS),,,,,
,0.0kVA (PASS),,,,,
,0.0kVA (PASS),,,,,
,0.0kVA (PASS),,,,,
,0.0kVA (PASS),,,,,
