Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-11-21 10:31:11+00:00),Img Match,H.Text
RMS Voltage L-L L-N Min Max,,,,,,
A,0.0V (PASS),[] (PASS),[] (PASS),2024-11-21 10:31:13 (PASS),,
B,0.0V (PASS),,,2024-11-21 10:31:13 (PASS),,
C,0.0V (PASS),,,2024-11-21 10:31:13 (PASS),,
Average,0.0V (PASS),,,2024-11-21 10:31:13 (PASS),,
