Main View,Measurement,OCR-Right,Right-OCR,Time Stamp (2024-12-02 16:24:50+00:00),Img Match,H.Text
Voltage Unbalance Max,,,,,,
NEMA,NEMA LL = LL (PASS by text),[] (PASS),[] (PASS),2024-12-02 16:24:52 (PASS),,
NEMA,NEMA LN = LN (PASS by text),,,2024-12-02 16:24:52 (PASS),,
Negative- Sequence,U2 = U2 (PASS by text),,,2024-12-02 16:24:52 (PASS),,
Zero- Sequence,U0 = U0 (PASS by text),,,2024-12-02 16:24:52 (PASS),,
,0.0% (PASS),,,,,
,0.0% (PASS),,,,,
,0.0% (PASS),,,,,
,0.0% (PASS),,,,,
