Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-08-22 10:46:24.259738)
Max Total Demand Distortion,0.0 %,[] (FAIL),[] (FAIL),
A,0.0 %,[] (FAIL),[] (FAIL),
B,0.0 %,[] (FAIL),[] (FAIL),
c,,[] (FAIL),[] (FAIL),
