Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None),Img Match
Phasor  Voltage Current,109.7 v,[] (PASS),[] (PASS),,"[0.9632315635681152, 1.0, 1.0]"
VLL VLN,109.5 v,,,,
Voltage,109.5 v,,,,
A B C,2.479 A,,,,
Current,2.495 A,,,,
A B C,2.488 A,,,,
,-0.0,,,,
,-120.2,,,,
,119.4,,,,
,-30.2,,,,
,-150.1,,,,
,90.0,,,,
