Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-09-03 17:05:06.189896),Img Match
Min Max Fundamental Current,49.7 %,[] (PASS),[] (PASS),2024-09-03 17:06:25 (PASS),
A,49.9 %,,,2024-09-03 17:06:39 (PASS),
B,49.9 %,,,2024-09-03 17:06:57 (PASS),
c,49.8 %,,,2024-09-03 17:06:27 (PASS),
Average,2.487 A,,,,
,2.495 A,,,,
,2.494 A,,,,
,2.490 A,,,,
