Main View,Measurement Accuracy,OCR-Right,Right-OCR,Time Stemp Error
Residual Current Min Max,1.554 kA,[],[],2024-08-13 08:47:53
RMS,784.8 A,[],[],2024-08-13 08:29:46
Fund.,,[],[],
