Main View,Measurement Accuracy,OCR-Right,Right-OCR,Time Stemp Error
RMS Voltage L-L L-N Min Max,109.6 V,['c'],['C'],
A,109.5 V,['c'],['C'],
B,109.7 V,['c'],['C'],
c,,['c'],['C'],
Average,,['c'],['C'],
