Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None)
Min Max Apparent Power,49.9 %,[] (PASS),[] (PASS),2024-08-26 16:34:08 (PASS)
A,49.9 %,[] (PASS),[] (PASS),2024-08-26 16:34:39 (PASS)
B,50.0 %,[] (PASS),[] (PASS),2024-08-26 16:34:34 (PASS)
c,49.8 %,[] (PASS),[] (PASS),2024-08-26 16:34:03 (PASS)
Total,273.7 VA,[] (PASS),[] (PASS),
,273.6 VA,[] (PASS),[] (PASS),
,274.1 VA,[] (PASS),[] (PASS),
,819.4 VA,[] (PASS),[] (PASS),
