Main View,Measurement Accuracy,OCR-Right,Right-OCR,Time Stemp Error
Voltage Harmonics Current,3.3 %,['c'],[],
[v] Graph THD Fund.,3.4 %,['c'],[],
Fund A B C,3.4 %,['c'],[],
A,109.8 v,['c'],[],
B,109.4 v,['c'],[],
c,109.7 v,['c'],[],
