Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-08-22 10:46:24.259738)
Min Max Residual Current,0.073 A,[] (PASS),[] (PASS),
RMS,0.028 A,[] (PASS),[] (PASS),
Fund.,,[] (PASS),[] (PASS),
