Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-08-22 10:46:24.259738)
Max Total Demand Distortion,0.0 %,[] (FAIL),[] (FAIL),2024-08-22 10:50:09 (PASS)
A,0.0 %,[] (FAIL),[] (FAIL),2024-08-22 10:51:05 (PASS)
B,0.0 %,[] (FAIL),[] (FAIL),2024-08-22 10:49:00 (PASS)
c,,[] (FAIL),[] (FAIL),
