Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None)
Min Max Reactive Power,25.2 %,[] (PASS),[] (PASS),2024-08-26 16:32:46 (PASS)
A,25.3 %,[] (PASS),[] (PASS),2024-08-26 16:33:20 (PASS)
B,25.1 %,[] (PASS),[] (PASS),2024-08-26 16:32:53 (PASS)
c,25.1 %,[] (PASS),[] (PASS),2024-08-26 16:32:49 (PASS)
Total,138.1 VAR,[] (PASS),[] (PASS),
,138.8 VAR,[] (PASS),[] (PASS),
,137.8 VAR,[] (PASS),[] (PASS),
,412.6 VAR,[] (PASS),[] (PASS),
