Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-09-03 17:03:52.420986),Img Match
Min Max Fundamental Current,49.7 %,[] (PASS),[] (PASS),,
A,49.8 %,,,,
B,49.8 %,,,,
c,49.8 %,,,,
Average,2.483 A,,,,
,2.492 A,,,,
,2.490 A,,,,
,2.488 A,,,,
