Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None),Img Match
Phasor Voltage Current,109.7 v,[] (PASS),[] (PASS),,"[0.9624810814857483, 1.0, 1.0]"
VLL VLN,109.9 v,,,,
Voltage,109.4 v,,,,
A B C,2.481 A,,,,
Current,2.493 A,,,,
A B C,2.485 A,,,,
,0.0,,,,
,-120.2,,,,
,119.2,,,,
,-30.4,,,,
,-150.1,,,,
,89.9,,,,
