Main View,Measurement Accuracy,OCR-Right,Right-OCR,Time Stemp Error
L-L L-N Max Total Harmonic Distortion,3.8 %,['c'],['C'],2024-08-21 08:50:26
A,3.7 %,['c'],['C'],2024-08-21 08:50:15
B,3.7 %,['c'],['C'],
c,,['c'],['C'],
