Main View,Measurement Accuracy,OCR-Right,Right-OCR,Time Stemp Error
Phasor  Voltage Current,189.8 v,[],[],
VLL VLN,189.7 v,[],[],
Voltage,189.9 v,[],[],
AB BC CA,2.482 A,[],[],
Current,2.495 A,[],[],
A B C,2.498 A,[],[],
,29.9,[],[],
,-90.0,[],[],
,150.0,[],[],
,-30.1,[],[],
,-150.6,[],[],
,89.9,[],[],
