Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-09-03 17:03:52.420986),Img Match
Min Max RMS Current,49.7 %,[] (PASS),[] (PASS),2024-09-03 17:05:21 (PASS),
A,49.9 %,,,2024-09-03 17:05:23 (PASS),
B,49.9 %,,,2024-09-03 17:05:34 (PASS),
c,49.8 %,,,2024-09-03 17:05:35 (PASS),
Average,2.487 A,,,,
,2.496 A,,,,
,2.493 A,,,,
,2.491 A,,,,
