Main View,Measurement Accuracy,OCR-Right,Right-OCR,Time Stemp Error
L-L L-N Total Harmonic Distortion Max,3.7 %,['c'],['C'],2024-08-13 08:45:34
A,3.7 %,['c'],['C'],2024-08-13 08:47:56
B,3.7 %,['c'],['C'],
c,,['c'],['C'],
