Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None)
Min Max Power Factor,Lag,[] (PASS),[] (PASS),
A,Lag,[] (PASS),[] (PASS),
B,Lag,[] (PASS),[] (PASS),
c,Lag,[] (PASS),[] (PASS),
Total,0.864,[] (PASS),[] (PASS),
,0.863,[] (PASS),[] (PASS),
,0.866,[] (PASS),[] (PASS),
,0.865,[] (PASS),[] (PASS),
