Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None)
Min Max RMS Current,49.7 %,[] (PASS),[] (PASS),
A,49.8 %,[] (PASS),[] (PASS),
B,49.8 %,[] (PASS),[] (PASS),
c,49.8 %,[] (PASS),[] (PASS),
Average,2.485 A,[] (PASS),[] (PASS),
,2.491 A,[] (PASS),[] (PASS),
,2.492 A,[] (PASS),[] (PASS),
,2.489 A,[] (PASS),[] (PASS),
