Main View,Measurement Accuracy,OCR-Right,Right-OCR,Time Stemp Error
Max Total Harmonic Distortion,1.7 %,['c'],['C'],2024-08-09 09:48:05
A,1.7 %,['c'],['C'],2024-08-09 09:43:56
B,1.7 %,['c'],['C'],2024-08-09 09:45:26
c,,['c'],['C'],
