Main View,Measurement Accuracy,OCR-Right,Right-OCR,Time Stemp Error
Fund. Volt. L-L L-N Min Max,189.1,[],[],
AB,189.2,[],[],
v,189.2,[],[],
BC,189.4,[],[],
v,,[],[],
CA,,[],[],
v,,[],[],
Average,,[],[],
v,,[],[],
