Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-08-22 10:46:24.259738)
Min Max Fundamental Current,49.7 %,[] (PASS),[] (PASS),
A,49.8 %,[] (PASS),[] (PASS),
B,49.8 %,[] (PASS),[] (PASS),
c,49.8 %,[] (PASS),[] (PASS),
Average,2.484 A,[] (PASS),[] (PASS),
,2.492 A,[] (PASS),[] (PASS),
,2.490 A,[] (PASS),[] (PASS),
,2.489 A,[] (PASS),[] (PASS),
