Main View,Measurement Accuracy,OCR-Right,Right-OCR,Time Stemp Error
Phasor Voltage V Current,189.9 v,"['c', 'V']",['C'],
VLL VLN,190.1 V,"['c', 'V']",['C'],
Voltage,189.5 v,"['c', 'V']",['C'],
AB BC CA,2.483 A,"['c', 'V']",['C'],
Current,2.480 A,"['c', 'V']",['C'],
A B c,2.492 A,"['c', 'V']",['C'],
,30.0 0,"['c', 'V']",['C'],
,-90.2,"['c', 'V']",['C'],
,149.8 0,"['c', 'V']",['C'],
,-30.1 O,"['c', 'V']",['C'],
,-149.9 0,"['c', 'V']",['C'],
,90.1 0,"['c', 'V']",['C'],
