Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None)
Min Max Apparent Power,49.5 %,[] (PASS),[] (PASS),2024-08-26 16:34:13 (PASS)
A,49.6  %,[] (PASS),[] (PASS),2024-08-26 16:33:51 (PASS)
B,49.7 %,[] (PASS),[] (PASS),2024-08-26 16:34:00 (PASS)
c,49.6 %,[] (PASS),[] (PASS),2024-08-26 16:34:05 (PASS)
Total,271.6 VA,[] (PASS),[] (PASS),
,271.8 VA,[] (PASS),[] (PASS),
,272.5 VA,[] (PASS),[] (PASS),
,816.0 VA,[] (PASS),[] (PASS),
