Main View,Measurement Accuracy,OCR-Right,Right-OCR,Time Stemp Error
RMS Voltage L-L L-N Min Max,110.0 V,['c'],['C'],
A,110.0 V,['c'],['C'],
B,110.1 V,['c'],['C'],
c,,['c'],['C'],
Average,,['c'],['C'],
